Time Lapsed,Absolute_Acceleration
1192.540,1.428
1192.637,1.428
1192.721,1.427
1192.751,1.429
1192.925,1.429
1192.961,1.429
1193.060,1.429
1193.158,1.428
1193.266,1.428
1193.359,1.429
1193.540,1.429
1193.567,1.427
1193.665,1.428
1193.770,1.427
1193.850,1.427
1193.949,1.428
1194.063,1.429
1194.154,1.427
1194.257,1.428
1194.360,1.429
1194.476,1.427
1194.562,1.428
1194.666,1.428
1194.801,1.429
1194.871,1.428
1194.976,1.428
1195.075,1.428
1195.177,1.428
1195.280,1.429
1195.384,1.427
1195.486,1.429
1195.586,1.429
1195.715,1.428
1195.793,1.429
1195.900,1.427
1195.997,1.428
1196.125,1.428
1196.204,1.429
1196.311,1.428
1196.341,1.428
1196.509,1.428
1196.634,1.428
1196.652,1.427
1196.741,1.428
1196.841,1.428
1196.943,1.429
1197.043,1.427
1197.148,1.429
1197.253,1.429
1197.429,1.428
1197.457,1.428
1197.557,1.429
1197.660,1.428
1197.739,1.428
1197.840,1.428
1197.943,1.428
1198.149,1.428
1198.153,1.428
1198.253,1.428
1198.352,1.429
1198.472,1.429
1198.560,1.428
1198.660,1.428
1198.761,1.429
1198.885,1.429
1198.966,1.428
1199.074,1.428
1199.171,1.428
1199.278,1.429
1199.376,1.428
1199.478,1.428
1199.582,1.428
1199.688,1.428
1199.788,1.428
1199.889,1.429
1199.999,1.428
1200.094,1.428
1200.195,1.427
1250.310,1.428
1250.330,1.428
1250.502,1.428
1250.530,1.428
1250.630,1.429
1250.746,1.428
1250.833,1.429
1250.936,1.429
1251.045,1.428
1251.145,1.428
1251.242,1.428
1251.326,1.427
1251.449,1.428
1251.531,1.428
1251.629,1.428
1251.731,1.429
1251.838,1.428
1251.939,1.429
1252.040,1.428
1252.148,1.429
1252.244,1.427
1252.346,1.428
1252.447,1.429
1252.561,1.429
1252.657,1.428
1252.756,1.429
1252.858,1.429
1252.963,1.429
1253.062,1.428
1253.166,1.428
1253.268,1.427
1253.369,1.427
1253.472,1.427
1253.575,1.428
1253.678,1.429
1253.779,1.428
1253.883,1.428
1253.985,1.428
1254.025,1.428
1254.189,1.429
1254.292,1.427
1254.320,1.429
1254.420,1.428
1254.520,1.428
1254.622,1.429
1254.721,1.428
1254.834,1.428
1254.928,1.428
1255.033,1.429
1255.131,1.428
1255.238,1.428
1255.322,1.428
1255.418,1.428
1255.525,1.429
1255.622,1.428
1255.726,1.429
