Time Lapsed,Magnetic field Y
1615.413,11.52
1615.489,11.427
1615.595,11.453
1615.711,11.3
1615.796,11.313
1615.898,11.393
1616.001,11.32
1616.105,11.273
1616.205,11.38
1616.308,11.333
1616.412,11.4
1616.516,11.373
1616.614,11.3
1616.717,11.42
1616.818,11.393
1616.923,11.493
1617.025,11.427
1617.053,11.307
1617.162,11.433
1617.252,11.367
1617.356,11.36
1617.459,11.327
1617.641,11.34
1617.668,11.3
1617.765,11.427
1617.873,11.347
1617.950,11.4
1618.072,11.393
1618.150,11.333
1618.254,11.453
1618.355,11.333
1618.458,11.46
1618.561,11.28
1618.664,11.36
1618.766,11.4
1618.869,11.32
1618.976,11.327
1619.072,11.32
1619.175,11.287
1619.278,11.367
1619.387,11.313
1619.485,11.333
1619.589,11.273
1619.710,11.34
1619.792,11.253
1619.891,11.413
1619.994,11.367
1620.097,11.427
1620.197,11.3
1670.302,11.307
1670.405,11.393
1670.507,11.287
1670.607,11.413
1670.711,11.38
1670.814,11.453
1670.854,11.333
1670.940,11.287
1671.041,11.213
1671.144,11.34
1671.249,11.22
1671.350,11.367
1671.460,11.353
1671.547,11.333
1671.659,11.367
1671.759,11.393
1671.839,11.347
1671.960,11.373
1672.057,11.353
1672.144,11.373
1672.248,11.38
1672.352,11.407
1672.457,11.347
1672.554,11.4
1672.658,11.447
1672.760,11.32
1672.861,11.28
1672.963,11.367
1673.035,11.387
1673.139,11.32
1673.271,11.387
1673.386,11.36
1673.476,11.38
1673.578,11.307
1673.681,11.427
1673.798,11.22
1673.880,11.287
1673.987,11.44
1674.092,11.36
1674.193,11.273
1674.293,11.293
1674.396,11.46
1674.500,11.273
1674.532,11.253
1674.704,11.373
1674.732,11.38
1674.830,11.433
1674.938,11.513
1675.036,11.427
1675.139,11.36
1675.247,11.32
1675.344,11.253
1675.444,11.333
1675.548,11.287
1675.635,11.267
1675.731,11.28
1675.831,11.373
1675.958,11.327
1676.038,11.36
1676.138,11.34
1676.241,11.34
1676.344,11.453
1676.447,11.38
1676.548,11.32
1676.650,11.387
1676.754,11.447
1676.854,11.453
1676.959,11.433
1677.060,11.367
1677.165,11.32
1677.266,11.347
1677.367,11.353
1677.472,11.313
1677.573,11.42
1677.675,11.307
1677.793,11.393
1677.856,11.393
1678.007,11.453
1678.082,11.407
1678.208,11.313
1678.289,11.453
1678.391,11.287
1678.417,11.327
1678.530,11.28
1678.619,11.327
1678.722,11.36
1678.824,11.36
1678.928,11.393
1679.029,11.367
1679.209,11.267
1679.219,11.287
1679.337,11.353
1679.440,11.34
1679.518,11.28
1679.634,11.32
1679.724,11.367
1679.824,11.367
1679.926,11.313
1680.069,11.453
1680.132,11.427
1730.236,11.433
1730.336,11.347
1730.440,11.307
1730.541,11.273
1730.646,11.227
1730.746,11.3
1730.849,11.313
1730.951,11.4
1731.053,11.427
1731.156,11.36
1731.276,11.427
1731.362,11.367
1731.470,11.407
1731.564,11.42
1731.668,11.32
1731.771,11.293
1731.881,11.373
1731.949,11.347
1732.078,11.387
1732.180,11.333
1732.210,11.38
1732.307,11.307
1732.408,11.367
1732.512,11.273
1732.614,11.367
1732.716,11.373
1732.814,11.373
1732.994,11.307
