Time,Acceleration_X
1191.695,-0.009
1191.807,-0.008
1191.902,-0.009
1192.004,-0.009
1192.106,-0.008
1192.226,-0.009
1192.315,-0.009
1192.412,-0.009
1192.540,-0.009
1192.637,-0.009
1192.721,-0.008
1192.751,-0.009
1192.925,-0.009
1192.961,-0.009
1193.060,-0.009
1193.158,-0.009
1193.266,-0.009
1193.359,-0.009
1193.540,-0.009
1193.567,-0.008
1193.665,-0.009
1193.770,-0.008
1193.850,-0.008
1193.949,-0.009
1194.063,-0.009
1194.154,-0.009
1194.257,-0.009
1194.360,-0.009
1194.476,-0.008
1194.562,-0.009
1194.666,-0.008
1194.801,-0.009
1194.871,-0.009
1194.976,-0.009
1195.075,-0.009
1195.177,-0.008
1195.280,-0.009
1195.384,-0.008
1195.486,-0.009
1195.586,-0.009
1195.715,-0.008
1195.793,-0.009
1195.900,-0.008
1195.997,-0.009
1196.125,-0.008
1196.204,-0.009
1196.311,-0.009
1196.341,-0.009
1196.509,-0.009
1196.634,-0.009
1196.652,-0.008
1196.741,-0.008
1196.841,-0.008
1196.943,-0.009
1197.043,-0.008
1197.148,-0.009
1197.253,-0.009
1197.429,-0.009
1197.457,-0.009
1197.557,-0.009
1197.660,-0.009
1197.739,-0.009
1197.840,-0.009
1197.943,-0.009
1198.149,-0.009
1198.153,-0.009
1198.253,-0.009
1198.352,-0.009
1198.472,-0.009
1198.560,-0.009
1198.660,-0.009
1198.761,-0.009
1198.885,-0.009
1198.966,-0.009
1199.074,-0.009
1199.171,-0.009
1199.278,-0.009
1199.376,-0.009
1199.478,-0.008
1199.582,-0.009
1199.688,-0.009
1199.788,-0.009
1199.889,-0.009
1199.999,-0.009
1200.094,-0.009
1200.195,-0.008
1250.310,-0.009
1250.330,-0.009
1250.502,-0.009
1250.530,-0.009
1250.630,-0.009
1250.746,-0.009
1250.833,-0.009
1250.936,-0.01
1251.045,-0.009
1251.145,-0.009
1251.242,-0.009
1251.326,-0.008
1251.449,-0.009
1251.531,-0.008
1251.629,-0.008
1251.731,-0.009
1251.838,-0.008
1251.939,-0.009
1252.040,-0.008
1252.148,-0.009
1252.244,-0.008
1252.346,-0.008
1252.447,-0.009
1252.561,-0.009
1252.657,-0.009
1252.756,-0.009
1252.858,-0.009
1252.963,-0.009
1253.062,-0.009
1253.166,-0.008
1253.268,-0.008
1253.369,-0.008
1253.472,-0.008
1253.575,-0.009
1253.678,-0.009
1253.779,-0.009
1253.883,-0.009
1253.985,-0.009
1254.025,-0.009
1254.189,-0.009
1254.292,-0.008
1254.320,-0.009
1254.420,-0.008
1254.520,-0.009
1254.622,-0.009
1254.721,-0.009
1254.834,-0.009
1254.928,-0.009
1255.033,-0.009
1255.131,-0.009
1255.238,-0.009
1255.322,-0.009
1255.418,-0.009
1255.525,-0.009
1255.622,-0.009
1255.726,-0.009
1255.829,-0.008
1255.935,-0.009
1256.033,-0.009
1256.160,-0.008
1256.237,-0.009
1256.340,-0.009
1256.443,-0.008
1256.559,-0.008
1256.646,-0.008
1256.749,-0.009
1256.852,-0.008
1256.970,-0.009
1257.058,-0.009
1257.158,-0.009
1257.261,-0.008
1257.363,-0.009
1257.467,-0.008
1257.570,-0.009
1257.670,-0.009
1257.773,-0.009
1257.877,-0.009
1257.978,-0.009
1258.116,-0.009
1258.119,-0.009
1258.208,-0.009
1258.395,-0.009
1258.413,-0.008
1258.514,-0.008
1258.614,-0.009
1258.717,-0.009
1258.807,-0.009
1258.905,-0.009
1259.026,-0.009
1259.103,-0.009
1259.207,-0.009
1259.310,-0.009
1259.412,-0.009
1259.515,-0.009
1259.616,-0.009
1259.719,-0.009
1259.820,-0.008
1259.925,-0.009
1260.027,-0.009
1260.128,-0.009
1310.233,-0.009
1310.333,-0.008
1310.433,-0.009
1310.538,-0.009
1310.644,-0.009
1310.744,-0.009
1310.846,-0.009
1310.967,-0.009
1311.051,-0.009
1311.156,-0.008
1311.255,-0.009
1311.380,-0.009
1311.460,-0.009
1311.563,-0.008
1311.702,-0.009
1311.766,-0.009
1311.795,-0.01
1311.972,-0.008
1311.999,-0.009
1312.097,-0.009
1312.199,-0.009
1312.304,-0.009
1312.405,-0.009
1312.507,-0.009
1312.610,-0.009
1312.714,-0.009
1312.805,-0.008
1312.896,-0.008
1312.996,-0.008
1313.097,-0.009
1313.217,-0.008
1313.303,-0.009
1313.406,-0.009
1313.509,-0.009
1313.633,-0.009
1313.713,-0.009
1313.834,-0.009
1313.922,-0.01
1314.021,-0.009
1314.123,-0.009
1314.193,-0.009
1314.327,-0.009
1314.429,-0.008
1314.555,-0.009
1314.644,-0.009
1314.737,-0.009
1314.839,-0.009
1314.940,-0.009
1315.054,-0.009
1315.152,-0.008
1315.247,-0.009
1315.347,-0.008
1315.450,-0.009
1315.556,-0.009
1315.655,-0.008
1315.762,-0.008
1315.786,-0.009
1315.888,-0.008
1315.988,-0.009
1316.170,-0.009
1316.198,-0.009
1316.283,-0.008
1316.383,-0.009
1316.485,-0.009
1316.585,-0.008
1316.683,-0.009
1316.784,-0.009
1316.891,-0.008
1316.989,-0.008
1317.092,-0.009
1317.215,-0.008
1317.297,-0.009
1317.399,-0.009
1317.501,-0.009
1317.629,-0.009
1317.724,-0.008
1317.809,-0.009
1317.910,-0.009
1318.043,-0.009
1318.114,-0.009
1318.217,-0.009
1318.320,-0.009
1318.428,-0.009
1318.526,-0.008
1318.628,-0.009
1318.754,-0.009
1318.832,-0.009
1318.959,-0.008
1319.052,-0.009
1319.168,-0.008
1319.242,-0.009
1319.339,-0.009
1319.464,-0.009
1319.550,-0.009
1319.677,-0.009
1319.679,-0.008
1319.787,-0.009
1319.882,-0.009
1319.984,-0.008
1320.164,-0.009
1320.172,-0.009
1610.293,-0.008
1610.391,-0.009
1610.471,-0.009
1610.578,-0.009
1610.676,-0.009
1610.779,-0.009
1610.891,-0.009
1610.984,-0.009
1611.090,-0.009
1611.189,-0.008
1611.302,-0.01
1611.401,-0.009
1611.494,-0.008
1611.596,-0.009
1611.699,-0.008
1611.803,-0.009
1611.907,-0.009
1612.007,-0.008
1612.130,-0.009
1612.264,-0.009
1612.315,-0.009
1612.416,-0.009
1612.476,-0.009
1612.622,-0.009
1612.727,-0.009
1612.787,-0.008
1612.929,-0.009
1612.994,-0.008
1613.139,-0.009
1613.167,-0.009
1613.264,-0.009
1613.462,-0.009
1613.480,-0.009
1613.573,-0.009
1613.668,-0.008
1613.773,-0.008
1613.872,-0.009
1613.977,-0.009
1614.079,-0.009
1614.197,-0.009
1614.262,-0.009
1614.381,-0.009
1614.464,-0.009
1614.567,-0.009
1614.676,-0.008
1614.771,-0.009
1614.875,-0.009
1614.977,-0.009
1615.081,-0.01
1615.206,-0.009
1615.302,-0.009
1615.413,-0.009
1615.489,-0.009
1615.595,-0.009
1615.711,-0.009
1615.796,-0.008
1615.898,-0.008
1616.001,-0.009
1616.105,-0.009
1616.205,-0.009
1616.308,-0.009
1616.412,-0.009
1616.516,-0.008
1616.614,-0.009
1616.717,-0.009
1616.818,-0.009
1616.923,-0.009
