Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 20:07:59.961,COM3,, -0.013, -0.012, 1.000, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.140, 11.933, 9.153, 27.69,,,,,,,,,,,,,,,,
 20:08:00.091,COM3,, -0.013, -0.011, 1.002, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.120, 12.107, 8.660, 27.69,,,,,,,,,,,,,,,,
 20:08:00.109,COM3,, -0.013, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.107, 12.120, 9.007, 27.68,,,,,,,,,,,,,,,,
 20:08:00.207,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.187, 11.933, 9.313, 27.69,,,,,,,,,,,,,,,,
 20:08:00.305,COM3,, -0.013, -0.012, 1.002, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.153, 11.927, 9.513, 27.64,,,,,,,,,,,,,,,,
 20:08:00.470,COM3,, -0.014, -0.012, 1.000, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.167, 11.980, 9.133, 27.68,,,,,,,,,,,,,,,,
 20:08:00.504,COM3,, -0.014, -0.012, 1.000, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.113, 12.047, 8.873, 27.66,,,,,,,,,,,,,,,,
 20:08:00.624,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.000, 0.225, -70.532, -32.060, 12.053, 9.240, 27.69,,,,,,,,,,,,,,,,
 20:08:00.721,COM3,, -0.014, -0.011, 1.000, 0.000, 0.000, 0.000, 0.000, 0.225, -70.532, -32.193, 12.053, 9.200, 27.71,,,,,,,,,,,,,,,,
 20:08:00.825,COM3,, -0.013, -0.012, 1.002, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.140, 12.120, 9.307, 27.66,,,,,,,,,,,,,,,,
 20:08:00.906,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.000, 0.225, -70.532, -32.107, 12.113, 9.253, 27.69,,,,,,,,,,,,,,,,
 20:08:01.003,COM3,, -0.013, -0.012, 1.002, 0.000, 0.000, 0.000, 0.000, 0.225, -70.532, -32.233, 12.080, 9.060, 27.66,,,,,,,,,,,,,,,,
 20:08:01.100,COM3,, -0.013, -0.011, 1.002, 0.000, 0.000, 0.000, 0.000, 0.225, -70.532, -32.167, 12.107, 9.160, 27.64,,,,,,,,,,,,,,,,
 20:08:01.218,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.000, 0.225, -70.532, -32.107, 12.107, 9.113, 27.66,,,,,,,,,,,,,,,,
 20:08:01.316,COM3,, -0.013, -0.012, 1.003, 0.000, 0.000, 0.000, 0.000, 0.225, -70.532, -32.133, 11.927, 9.267, 27.66,,,,,,,,,,,,,,,,
 20:08:01.411,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.000, 0.225, -70.532, -32.240, 12.153, 9.173, 27.69,,,,,,,,,,,,,,,,
 20:08:01.505,COM3,, -0.013, -0.012, 1.002, 0.000, 0.000, 0.000, 0.000, 0.225, -70.532, -32.167, 12.013, 9.280, 27.66,,,,,,,,,,,,,,,,
 20:08:01.605,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.000, 0.231, -70.532, -32.187, 12.033, 9.067, 27.68,,,,,,,,,,,,,,,,
 20:08:01.697,COM3,, -0.013, -0.012, 1.002, 0.000, 0.000, 0.000, 0.000, 0.231, -70.532, -32.227, 12.040, 9.047, 27.69,,,,,,,,,,,,,,,,
 20:08:01.818,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.000, 0.225, -70.532, -32.167, 11.993, 9.187, 27.69,,,,,,,,,,,,,,,,
 20:08:01.930,COM3,, -0.013, -0.012, 1.001, 0.000, 0.000, 0.000, 0.000, 0.225, -70.532, -32.200, 12.113, 9.260, 27.69,,,,,,,,,,,,,,,,
 20:08:02.006,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.000, 0.225, -70.532, -32.120, 12.020, 9.233, 27.64,,,,,,,,,,,,,,,,
 20:08:02.110,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.000, 0.225, -70.532, -32.120, 11.993, 9.233, 27.64,,,,,,,,,,,,,,,,
 20:08:02.218,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.000, 0.225, -70.532, -32.187, 11.980, 9.133, 27.69,,,,,,,,,,,,,,,,
 20:08:02.312,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.000, 0.225, -70.532, -32.227, 12.027, 9.400, 27.64,,,,,,,,,,,,,,,,
 20:08:02.409,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.000, 0.225, -70.532, -32.287, 12.000, 9.327, 27.66,,,,,,,,,,,,,,,,
 20:08:02.529,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.000, 0.225, -70.532, -32.153, 12.073, 9.280, 27.64,,,,,,,,,,,,,,,,
 20:08:02.633,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.000, 0.225, -70.532, -32.213, 12.047, 9.060, 27.71,,,,,,,,,,,,,,,,
 20:08:02.733,COM3,, -0.013, -0.011, 1.002, 0.000, 0.000, 0.000, 0.000, 0.225, -70.532, -32.160, 11.973, 9.293, 27.69,,,,,,,,,,,,,,,,
 20:08:02.829,COM3,, -0.014, -0.011, 1.002, 0.000, 0.000, 0.000, 0.000, 0.225, -70.532, -32.187, 11.980, 9.633, 27.68,,,,,,,,,,,,,,,,
 20:08:02.926,COM3,, -0.014, -0.012, 1.000, 0.000, 0.000, 0.000, 0.000, 0.225, -70.532, -32.180, 12.073, 9.287, 27.72,,,,,,,,,,,,,,,,
 20:08:03.031,COM3,, -0.013, -0.012, 1.001, 0.000, 0.000, 0.000, 0.000, 0.225, -70.532, -32.147, 12.020, 9.333, 27.71,,,,,,,,,,,,,,,,
 20:08:03.141,COM3,, -0.014, -0.011, 1.003, 0.000, 0.000, 0.000, 0.000, 0.225, -70.532, -32.107, 12.027, 9.100, 27.68,,,,,,,,,,,,,,,,
 20:08:03.239,COM3,, -0.013, -0.012, 1.000, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.053, 12.067, 8.833, 27.68,,,,,,,,,,,,,,,,
 20:08:03.337,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.100, 11.993, 9.193, 27.66,,,,,,,,,,,,,,,,
 20:08:03.442,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.233, 12.093, 9.100, 27.66,,,,,,,,,,,,,,,,
 20:08:03.494,COM3,, -0.014, -0.012, 1.000, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.087, 11.953, 9.360, 27.71,,,,,,,,,,,,,,,,
 20:08:03.657,COM3,, -0.014, -0.013, 1.001, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.133, 12.060, 9.227, 27.69,,,,,,,,,,,,,,,,
