Time Lapsed,Acceleration_Z
1315.247,1.002
1315.347,1.002
1315.450,1.002
1315.556,1.001
1315.655,1.001
1315.762,1.003
1315.786,1.001
1315.888,1.002
1315.988,1.002
1316.170,1.001
1316.198,1.002
1316.283,1.001
1316.383,1.002
1316.485,1.002
1316.585,1.0
1316.683,1.002
1316.784,1.002
1316.891,1.002
1316.989,1.001
1317.092,1.003
1317.215,1.002
1317.297,1.002
1317.399,1.002
1317.501,1.001
1317.629,1.003
1317.724,1.004
1317.809,1.0
1317.910,1.002
1318.043,1.001
1318.114,1.001
1318.217,1.001
1318.320,1.0
1318.428,1.001
1318.526,1.003
1318.628,1.002
1318.754,1.003
1318.832,1.001
1318.959,1.003
1319.052,1.001
1319.168,1.002
1319.242,1.002
1319.339,1.001
1319.464,1.003
1319.550,1.001
1319.677,1.002
1319.679,1.002
1319.787,1.002
1319.882,1.001
1319.984,1.002
1320.164,1.001
1320.172,1.001
1610.293,1.003
1610.391,1.001
1610.471,1.003
1610.578,1.001
1610.676,1.002
1610.779,1.002
1610.891,1.002
1610.984,1.002
1611.090,1.001
1611.189,1.001
1611.302,1.002
1611.401,1.002
1611.494,1.002
1611.596,1.001
1611.699,1.002
1611.803,1.001
1611.907,1.003
1612.007,1.002
1612.130,1.001
1612.264,1.002
1612.315,1.002
1612.416,1.002
1612.476,1.002
1612.622,1.001
1612.727,1.002
1612.787,1.001
1612.929,1.001
1612.994,1.001
1613.139,1.002
1613.167,1.002
1613.264,1.002
1613.462,1.002
1613.480,1.003
1613.573,1.002
1613.668,1.002
1613.773,1.002
1613.872,1.002
1613.977,1.002
1614.079,1.001
1614.197,1.004
1614.262,1.0
1614.381,1.002
1614.464,1.002
1614.567,1.0
1614.676,1.002
1614.771,1.001
1614.875,1.002
1614.977,1.0
1615.081,1.001
1615.206,1.002
1615.302,1.001
1615.413,1.003
1615.489,1.001
1615.595,1.001
1615.711,1.002
1615.796,1.001
1615.898,1.002
1616.001,1.002
1616.105,1.002
1616.205,1.003
1616.308,1.001
1616.412,1.002
1616.516,1.002
1616.614,1.002
1616.717,1.003
1616.818,1.002
1616.923,1.001
1617.025,1.0
1617.053,1.001
1617.162,1.002
1617.252,1.002
1617.356,1.002
1617.459,1.004
1617.641,1.001
1617.668,1.002
1617.765,1.002
1617.873,1.003
1617.950,1.002
1618.072,1.002
1618.150,1.002
1618.254,1.0
1618.355,1.003
1618.458,1.002
1618.561,1.002
1618.664,1.002
1618.766,1.001
1618.869,1.002
1618.976,1.002
1619.072,1.001
1619.175,1.003
1619.278,1.002
1619.387,1.002
1619.485,1.002
1619.589,1.0
1619.710,1.002
1619.792,1.002
1619.891,1.003
1619.994,1.002
1620.097,1.002
1620.197,1.002
1670.302,1.003
1670.405,1.001
1670.507,1.002
1670.607,1.001
1670.711,1.002
1670.814,1.001
1670.854,1.0
1670.940,1.002
1671.041,1.001
1671.144,1.001
1671.249,1.002
1671.350,1.001
1671.460,1.001
1671.547,1.001
1671.659,1.002
1671.759,1.002
1671.839,1.001
1671.960,1.001
1672.057,1.002
1672.144,1.002
1672.248,1.001
1672.352,1.003
1672.457,1.001
1672.554,1.001
1672.658,1.002
1672.760,1.001
1672.861,1.001
1672.963,1.001
1673.035,1.002
1673.139,1.001
1673.271,1.001
1673.386,1.001
1673.476,1.002
1673.578,1.003
1673.681,1.002
1673.798,1.002
1673.880,1.003
1673.987,1.002
1674.092,1.002
1674.193,1.002
1674.293,1.002
1674.396,1.001
1674.500,1.003
1674.532,1.002
1674.704,1.002
1674.732,1.002
1674.830,1.001
1674.938,1.002
1675.036,1.001
1675.139,1.003
1675.247,1.001
1675.344,1.0
1675.444,1.002
1675.548,1.002
1675.635,1.003
1675.731,1.002
1675.831,1.001
1675.958,1.002
1676.038,1.002
1676.138,1.002
1676.241,1.002
1676.344,1.001
1676.447,1.002
1676.548,1.002
1676.650,1.002
1676.754,1.001
1676.854,1.001
1676.959,1.001
1677.060,1.001
1677.165,1.001
1677.266,1.002
1677.367,1.001
1677.472,1.002
1677.573,1.003
1677.675,1.001
1677.793,1.003
1677.856,1.001
1678.007,1.002
1678.082,1.0
1678.208,1.002
1678.289,1.001
1678.391,1.001
1678.417,1.002
1678.530,1.002
1678.619,1.003
1678.722,1.003
1678.824,1.002
1678.928,1.003
1679.029,1.002
1679.209,1.001
1679.219,1.002
1679.337,1.001
1679.440,1.001
1679.518,1.001
1679.634,1.004
1679.724,1.001
1679.824,1.001
1679.926,1.002
1680.069,1.0
1680.132,1.002
1730.236,1.002
1730.336,1.001
1730.440,1.003
1730.541,1.0
1730.646,1.002
1730.746,1.001
1730.849,1.001
1730.951,1.002
1731.053,1.001
1731.156,1.002
1731.276,1.001
1731.362,1.001
1731.470,1.002
1731.564,1.001
1731.668,1.002
1731.771,1.003
1731.881,1.002
1731.949,1.002
1732.078,1.001
1732.180,1.002
1732.210,1.001
1732.307,1.001
1732.408,1.002
1732.512,1.002
1732.614,1.003
1732.716,1.001
1732.814,1.002
1732.994,1.002
