Time Lapsed,Acceleration_Z
1202.209,1.0
1202.337,1.0
1202.439,1.001
1202.548,1.0
1202.650,1.0
1202.753,1.001
1202.839,1.001
1202.964,1.002
1203.016,1.0
1203.165,1.0
1203.263,1.0
1203.368,1.001
1203.471,1.0
1203.572,1.0
1203.603,1.0
1203.702,0.999
1203.800,1.002
1203.900,1.001
1204.006,1.001
1204.111,1.001
1204.214,1.001
1204.312,1.001
1204.410,1.0
1204.510,1.001
1204.635,1.001
1204.697,1.001
1204.819,1.001
1204.896,1.0
1205.003,1.002
1205.101,1.001
1205.204,1.0
1205.310,1.0
1205.413,1.0
1205.510,1.001
1205.614,1.0
1205.736,1.002
1205.822,1.0
1205.923,1.002
1206.043,1.0
1206.148,1.0
1206.260,1.001
1206.337,1.0
1206.435,1.0
1206.501,1.001
1206.638,1.001
1256.739,1.002
1256.844,1.001
1256.949,1.0
1257.023,1.001
1257.150,1.0
1257.253,1.0
1257.354,1.0
1257.489,1.001
1257.491,1.001
1257.599,1.001
1257.695,1.0
1257.795,1.0
1257.891,1.001
1258.008,1.002
1258.104,1.0
1258.202,1.001
1258.310,1.001
1258.403,1.0
1258.498,1.001
1258.609,1.0
1258.687,1.001
1258.793,1.0
1258.891,1.0
1258.993,1.0
1259.097,1.001
1259.226,1.001
1259.300,1.0
1259.412,1.001
1259.508,1.0
1259.606,0.999
1259.717,1.001
1259.824,1.001
1259.945,1.001
1260.025,1.001
1260.119,1.0
1260.256,1.001
1260.332,1.0
1260.430,1.002
1260.559,1.0
1260.633,1.001
1260.701,1.001
1260.839,1.0
1260.940,1.001
1261.048,1.0
1261.148,1.001
1261.253,1.001
1261.337,1.001
1261.440,1.0
1261.491,1.0
1261.587,1.0
1261.685,1.001
1261.788,1.0
1261.886,1.0
1261.984,1.001
1262.097,1.0
1262.175,1.001
1262.293,1.0
1262.395,1.001
1262.472,1.0
1262.579,1.002
1262.679,1.0
1262.788,1.001
1262.893,1.002
1262.993,1.001
1263.087,1.0
1263.195,1.001
1263.295,1.0
1263.400,1.0
1263.498,1.001
1263.601,1.001
1263.702,1.001
1263.822,1.0
1263.912,1.001
1264.040,1.001
1264.118,1.0
1264.233,1.0
1264.327,1.0
1264.425,1.001
1264.527,1.001
1264.626,1.002
1264.729,1.0
1264.832,1.0
1264.888,1.001
1265.045,1.0
1265.072,1.001
1265.168,1.0
1265.341,1.0
1265.371,1.001
1265.474,1.002
1265.572,1.002
1265.682,1.0
1265.780,1.001
1265.883,1.002
1265.981,1.0
1266.070,1.001
1266.168,1.0
1266.265,1.002
1266.369,1.002
1266.467,1.001
1266.570,1.001
1266.673,1.001
1316.773,1.0
1316.878,1.001
1316.983,1.0
1317.091,1.0
1317.190,1.002
1317.288,1.001
1317.396,1.0
1317.523,1.0
1317.601,1.001
1317.697,0.999
1317.802,1.0
1317.908,1.0
1318.011,1.0
1318.108,1.001
1318.233,1.0
1318.320,1.001
1318.418,1.0
1318.515,1.0
1318.618,1.002
1318.719,1.002
1318.856,1.0
1318.858,1.0
1318.967,1.001
1319.059,1.001
1319.155,1.0
1319.256,1.0
1319.364,1.0
1319.467,1.001
1319.570,1.001
1319.653,1.001
1319.771,1.0
1319.871,1.0
1319.962,1.001
1320.067,1.0
1320.173,1.0
1320.256,1.001
1320.359,1.0
1320.481,1.001
1320.572,1.0
1320.670,1.001
1320.771,1.0
1320.876,1.0
1320.972,1.001
1321.079,1.001
1321.184,1.002
1321.285,1.0
1321.385,1.001
1321.486,1.001
1321.589,1.0
1321.694,1.0
1321.795,1.001
1321.930,1.0
1322.003,1.0
1322.101,1.0
1322.202,1.0
1322.317,1.001
1322.347,1.0
1322.515,1.001
1322.543,0.999
1322.714,1.001
1322.748,1.001
1322.846,1.001
1322.945,1.001
1323.045,1.0
1323.146,1.0
1323.244,1.0
1323.353,1.0
1323.442,1.0
1323.562,1.0
1323.658,1.0
1323.746,1.001
1323.854,1.0
1323.945,1.0
1324.050,1.001
1324.155,1.001
1324.253,1.0
1324.361,1.0
1324.479,1.002
1324.570,1.0
1324.641,1.001
1324.768,1.0
1324.846,1.0
1324.974,1.0
1325.074,1.001
1325.173,1.001
1325.285,1.001
1325.383,1.0
1325.486,1.001
1325.587,1.0
1325.695,1.001
1325.793,1.0
1325.888,1.0
1325.993,1.001
1326.092,1.0
1326.199,1.001
1326.317,1.001
1326.334,1.0
1326.503,1.0
1326.533,1.0
1326.635,1.001
1376.822,1.001
1376.849,1.001
1376.947,1.0
1377.052,1.001
1377.148,1.001
1377.250,1.0
1377.347,1.002
1377.447,1.0
1377.530,1.001
1377.653,1.001
1377.761,1.0
1377.839,1.001
1377.940,1.001
1378.059,1.001
1378.153,1.0
1378.251,1.0
1378.346,1.001
1378.435,1.0
1378.565,1.0
1378.655,1.001
1378.761,1.0
1378.863,1.001
1378.984,1.0
1379.062,1.001
1379.172,1.001
1379.256,1.001
1379.369,1.0
1379.472,0.999
1379.577,1.0
1379.677,1.001
1379.785,1.0
1379.888,1.001
1379.991,1.0
1380.086,1.001
1380.187,1.001
1380.290,1.0
1380.427,1.001
1380.430,1.0
1380.527,1.001
1380.631,1.001
1380.728,1.0
1380.837,1.0
1380.939,1.001
1381.035,1.002
1381.141,1.0
1381.246,1.0
1381.324,1.001
1381.427,1.0
1381.530,1.0
1381.630,1.001
1381.728,1.001
1381.829,1.002
1381.962,1.0
1382.065,1.002
1382.138,1.0
1382.243,1.0
1382.342,1.002
1382.447,1.0
1382.565,1.0
1382.653,1.0
1382.751,1.0
1382.851,1.001
1382.930,1.001
1383.067,1.001
1383.162,1.0
1383.261,1.002
1383.371,1.001
1383.467,1.0
1383.570,1.001
1383.633,1.001
1383.778,1.0
1383.878,1.0
1383.979,1.001
1384.111,1.0
1384.114,1.0
1384.212,1.001
1384.400,1.0
1384.417,1.0
1384.516,1.0
1384.616,1.001
