Time Lapsed,Magnetic field Z
1323.562,17.04
1323.658,17.04
1323.746,17.053
1323.854,17.173
1323.945,16.947
1324.050,16.867
1324.155,17.187
1324.253,17.327
1324.361,17.227
1324.479,17.26
1324.570,17.173
1324.641,17.187
1324.768,17.227
1324.846,17.013
1324.974,17.347
1325.074,17.02
1325.173,16.993
1325.285,17.433
1325.383,17.227
1325.486,17.12
1325.587,16.98
1325.695,17.187
1325.793,17.227
1325.888,17.16
1325.993,17.42
1326.092,16.893
1326.199,17.18
1326.317,16.98
1326.334,17.48
1326.503,17.393
1326.533,17.32
1326.635,17.107
1376.822,17.467
1376.849,17.28
1376.947,17.253
1377.052,17.34
1377.148,17.113
1377.250,17.06
1377.347,17.193
1377.447,17.413
1377.530,17.433
1377.653,17.327
1377.761,16.907
1377.839,17.16
1377.940,17.02
1378.059,17.407
1378.153,17.26
1378.251,17.253
1378.346,17.28
1378.435,17.087
1378.565,17.287
1378.655,17.053
1378.761,16.913
1378.863,17.273
1378.984,17.42
1379.062,17.18
1379.172,17.24
1379.256,17.053
1379.369,17.153
1379.472,17.14
1379.577,17.3
1379.677,17.22
1379.785,17.233
1379.888,16.807
1379.991,17.047
1380.086,17.06
1380.187,17.233
1380.290,17.347
1380.427,17.08
1380.430,17.02
1380.527,16.973
1380.631,17.267
1380.728,17.287
1380.837,17.34
1380.939,17.393
1381.035,17.047
1381.141,17.267
1381.246,17.0
1381.324,16.973
1381.427,17.22
1381.530,17.38
1381.630,17.16
1381.728,17.287
1381.829,17.34
1381.962,17.38
1382.065,17.207
1382.138,17.24
1382.243,17.08
1382.342,17.2
1382.447,17.327
1382.565,17.487
1382.653,17.227
1382.751,17.313
1382.851,17.14
1382.930,17.113
1383.067,17.16
1383.162,16.967
1383.261,17.2
1383.371,17.06
1383.467,17.16
1383.570,17.207
1383.633,17.147
1383.778,17.027
1383.878,17.227
1383.979,17.3
1384.111,17.287
1384.114,17.373
1384.212,17.24
1384.400,17.233
1384.417,17.013
1384.516,17.033
1384.616,17.28
1384.712,17.18
1384.812,17.287
1384.910,17.433
1385.030,17.447
1385.109,17.167
1385.211,17.087
1385.339,17.127
1385.415,17.34
1385.513,17.227
1385.616,17.173
1385.721,17.127
1385.822,16.96
1385.915,16.96
1386.030,17.12
1386.128,17.227
1386.239,17.027
1386.339,16.893
1386.437,17.26
1386.545,17.42
1386.652,17.267
1676.751,17.067
1676.847,16.807
1676.974,16.993
1677.050,17.14
1677.153,17.36
1677.255,17.18
1677.386,16.753
1677.491,16.933
1677.570,17.24
1677.711,17.193
1677.778,17.267
1677.805,17.033
1677.903,17.02
