Time Lapsed,Absolute_Acceleration
1320.771,1.424
1320.876,1.424
1320.972,1.424
1321.079,1.424
1321.184,1.424
1321.285,1.425
1321.385,1.424
1321.486,1.424
1321.589,1.425
1321.694,1.424
1321.795,1.424
1321.930,1.424
1322.003,1.424
1322.101,1.424
1322.202,1.425
1322.317,1.424
1322.347,1.424
1322.515,1.425
1322.543,1.425
1322.714,1.424
1322.748,1.425
1322.846,1.425
1322.945,1.424
1323.045,1.424
1323.146,1.425
1323.244,1.425
1323.353,1.425
1323.442,1.424
1323.562,1.424
1323.658,1.424
1323.746,1.425
1323.854,1.424
1323.945,1.424
1324.050,1.424
1324.155,1.424
1324.253,1.424
1324.361,1.424
1324.479,1.424
1324.570,1.424
1324.641,1.424
1324.768,1.425
1324.846,1.424
1324.974,1.424
1325.074,1.425
1325.173,1.424
1325.285,1.424
1325.383,1.424
1325.486,1.424
1325.587,1.424
1325.695,1.425
1325.793,1.424
1325.888,1.424
1325.993,1.424
1326.092,1.424
1326.199,1.425
1326.317,1.424
1326.334,1.425
1326.503,1.424
1326.533,1.425
1326.635,1.424
1376.822,1.425
1376.849,1.424
1376.947,1.425
1377.052,1.424
1377.148,1.424
1377.250,1.424
1377.347,1.424
1377.447,1.425
1377.530,1.425
1377.653,1.424
1377.761,1.425
1377.839,1.424
1377.940,1.424
1378.059,1.425
1378.153,1.424
1378.251,1.424
1378.346,1.424
1378.435,1.425
1378.565,1.424
1378.655,1.425
1378.761,1.424
1378.863,1.425
1378.984,1.425
1379.062,1.424
1379.172,1.424
1379.256,1.424
1379.369,1.424
1379.472,1.424
1379.577,1.424
1379.677,1.424
1379.785,1.424
1379.888,1.424
1379.991,1.424
1380.086,1.424
1380.187,1.424
1380.290,1.424
1380.427,1.424
1380.430,1.424
1380.527,1.424
1380.631,1.424
1380.728,1.424
1380.837,1.425
1380.939,1.424
1381.035,1.425
1381.141,1.424
1381.246,1.424
1381.324,1.425
1381.427,1.424
1381.530,1.425
1381.630,1.424
1381.728,1.424
1381.829,1.425
1381.962,1.424
1382.065,1.425
1382.138,1.424
1382.243,1.424
1382.342,1.425
1382.447,1.424
1382.565,1.424
1382.653,1.426
1382.751,1.424
1382.851,1.425
1382.930,1.424
1383.067,1.424
1383.162,1.424
1383.261,1.425
1383.371,1.425
1383.467,1.425
1383.570,1.424
1383.633,1.424
1383.778,1.424
1383.878,1.425
1383.979,1.424
1384.111,1.425
1384.114,1.425
1384.212,1.425
1384.400,1.425
1384.417,1.425
1384.516,1.425
1384.616,1.425
1384.712,1.424
1384.812,1.424
1384.910,1.424
1385.030,1.425
1385.109,1.425
1385.211,1.425
1385.339,1.425
1385.415,1.424
1385.513,1.424
1385.616,1.424
1385.721,1.425
1385.822,1.425
1385.915,1.424
1386.030,1.425
1386.128,1.424
1386.239,1.424
1386.339,1.424
1386.437,1.424
1386.545,1.424
1386.652,1.425
1676.751,1.424
1676.847,1.424
1676.974,1.424
1677.050,1.424
1677.153,1.424
1677.255,1.424
1677.386,1.424
1677.491,1.424
1677.570,1.424
1677.711,1.425
1677.778,1.424
1677.805,1.425
1677.903,1.424
1678.003,1.424
1678.106,1.424
1678.207,1.425
1678.310,1.425
1678.410,1.424
1678.515,1.424
1678.611,1.424
1678.717,1.424
1678.812,1.424
1678.920,1.424
1678.996,1.424
1679.099,1.424
1679.224,1.424
1679.302,1.424
1679.398,1.424
1679.516,1.425
