Time Lapsed,Magnetic field X
1079.643,-36.16
1079.709,-36.16
1079.807,-35.96
1079.869,-36.107
1079.978,-36.067
1080.084,-36.1
1080.195,-36.053
1080.298,-35.973
1080.423,-36.06
1080.511,-36.02
1080.621,-36.0
1080.668,-36.013
1080.770,-35.987
1080.866,-36.027
1081.035,-36.147
1081.158,-36.033
1081.253,-36.033
1081.280,-36.113
1081.378,-36.06
1081.481,-35.967
1081.582,-35.993
1081.685,-36.1
1081.782,-36.167
1081.881,-35.993
1081.981,-36.033
1082.067,-35.98
1082.260,-36.14
1082.266,-36.073
1082.369,-36.033
1082.479,-36.1
1082.608,-36.047
1082.677,-36.133
1082.804,-36.18
1082.866,-35.987
1082.994,-36.08
1083.077,-36.013
1083.190,-36.02
1083.319,-35.993
1083.369,-35.967
1083.496,-36.007
1083.596,-36.167
1083.685,-36.013
1083.795,-36.1
1083.898,-35.947
1084.006,-35.973
1084.104,-36.133
1084.204,-36.073
1084.309,-36.007
1084.447,-35.98
1084.523,-36.153
1084.619,-36.04
1084.733,-35.953
1084.760,-36.06
1084.859,-35.973
1084.957,-36.087
1085.057,-36.1
1085.155,-36.0
1085.265,-35.98
1085.364,-36.007
1085.464,-36.027
1085.567,-36.14
1085.667,-36.0
1085.771,-36.007
1085.858,-36.14
1085.962,-36.133
1086.062,-36.06
1086.160,-35.953
1086.268,-36.0
1086.368,-36.007
1086.467,-36.027
1086.570,-36.007
1086.670,-35.973
1136.771,-36.133
1136.873,-36.04
1136.993,-35.987
1137.103,-36.047
1137.180,-36.047
1137.263,-35.98
1137.405,-35.993
1137.489,-36.08
1137.550,-35.987
1137.695,-36.013
1137.798,-36.027
1137.900,-35.987
1137.967,-36.067
1138.069,-35.953
1138.212,-36.06
1138.310,-36.167
1138.378,-36.047
1138.484,-36.113
1138.543,-36.02
1138.646,-36.007
1138.744,-36.133
1138.854,-36.007
1138.940,-35.987
1139.045,-35.993
1139.143,-36.087
1139.241,-36.067
1139.349,-36.067
1139.444,-35.967
1139.567,-36.047
1139.653,-35.913
1139.750,-36.013
1139.854,-36.06
1139.979,-35.927
1140.055,-36.127
1140.184,-35.893
1140.261,-36.047
1140.344,-36.093
1140.466,-36.047
1140.569,-36.073
1140.670,-35.98
1140.766,-36.173
1140.868,-36.127
1140.969,-36.033
1141.079,-36.087
1141.179,-36.0
1141.277,-36.0
1141.378,-35.92
1141.481,-36.093
1141.547,-36.1
1141.695,-36.04
1141.792,-36.067
1141.854,-35.987
1141.957,-36.107
1142.062,-36.0
1142.138,-35.96
1142.239,-35.987
1142.341,-36.013
1142.440,-35.993
1142.530,-36.073
1142.631,-36.067
1142.751,-36.0
1142.849,-36.12
1142.945,-36.053
1143.042,-35.96
1143.143,-36.053
1143.241,-36.113
1143.334,-35.993
1143.439,-36.067
1143.532,-36.033
1143.631,-36.14
1143.736,-36.0
1143.844,-35.913
1143.942,-36.04
1144.043,-36.08
1144.148,-36.0
1144.251,-36.027
1144.351,-35.967
1144.459,-36.093
1144.555,-36.033
1144.658,-35.987
1144.760,-35.96
1144.861,-35.893
1144.972,-36.113
1145.079,-36.167
1145.168,-36.06
1145.273,-36.067
1145.381,-36.06
1145.491,-36.04
1145.587,-36.053
1145.685,-36.027
1145.783,-36.067
1145.893,-36.14
1145.922,-36.073
1146.097,-36.04
1146.126,-36.007
1146.229,-36.173
1146.329,-36.033
1146.430,-36.113
1146.609,-35.987
1146.640,-36.027
1196.738,-36.093
1196.841,-36.08
1196.940,-36.073
1197.018,-35.987
1197.123,-36.033
1197.219,-36.147
1197.329,-36.047
1197.429,-35.94
1197.530,-35.953
1197.652,-35.967
1197.741,-35.96
1197.842,-36.093
1197.940,-36.06
1198.038,-35.893
1198.141,-36.033
1198.239,-35.993
1198.342,-36.08
1198.454,-36.2
1198.550,-35.947
1198.653,-36.04
1198.758,-36.093
1198.864,-36.013
1198.959,-35.96
1199.059,-36.0
1199.165,-36.093
1199.263,-36.127
1199.366,-36.087
1199.491,-36.18
1199.577,-35.94
1199.679,-36.02
1199.805,-35.967
1199.810,-36.08
1199.923,-36.0
1200.087,-35.98
1200.116,-35.973
1200.224,-36.033
1200.324,-36.007
1200.420,-36.2
1200.525,-36.033
1200.619,-36.02
1200.722,-35.94
1200.829,-35.98
1200.927,-36.093
1201.008,-36.087
1201.108,-36.087
1201.212,-35.927
1201.326,-36.12
1201.415,-36.087
1201.516,-36.04
1201.619,-36.02
1201.739,-35.987
1201.837,-36.027
1201.932,-36.013
1202.033,-35.993
1202.136,-36.107
1202.209,-36.0
1202.337,-35.953
1202.439,-36.06
1202.548,-36.053
1202.650,-35.993
1202.753,-35.88
1202.839,-36.093
1202.964,-36.093
1203.016,-36.08
1203.165,-36.133
1203.263,-36.1
1203.368,-36.08
1203.471,-36.033
1203.572,-35.98
1203.603,-36.027
1203.702,-36.013
1203.800,-36.047
1203.900,-36.1
1204.006,-36.167
1204.111,-36.027
1204.214,-35.987
1204.312,-36.06
1204.410,-36.053
1204.510,-36.113
1204.635,-36.1
1204.697,-35.98
1204.819,-36.027
1204.896,-35.993
1205.003,-35.933
1205.101,-36.02
1205.204,-36.0
1205.310,-36.193
1205.413,-36.087
1205.510,-36.073
1205.614,-36.06
1205.736,-36.093
1205.822,-36.047
1205.923,-36.093
1206.043,-35.973
1206.148,-36.127
1206.260,-36.02
1206.337,-36.047
1206.435,-36.127
1206.501,-35.993
1206.638,-35.88
1256.739,-36.093
1256.844,-36.14
1256.949,-36.02
1257.023,-36.107
1257.150,-36.033
1257.253,-36.013
1257.354,-36.093
1257.489,-36.027
1257.491,-35.98
1257.599,-35.967
1257.695,-36.093
1257.795,-36.08
1257.891,-36.14
1258.008,-36.167
1258.104,-35.98
1258.202,-36.06
1258.310,-36.12
1258.403,-36.013
1258.498,-36.1
1258.609,-36.047
1258.687,-35.973
1258.793,-35.94
1258.891,-36.047
1258.993,-35.987
1259.097,-36.04
1259.226,-35.853
1259.300,-35.9
1259.412,-36.053
1259.508,-36.033
1259.606,-36.02
1259.717,-35.9
1259.824,-36.173
1259.945,-36.013
1260.025,-36.053
1260.119,-36.087
1260.256,-35.973
1260.332,-35.813
1260.430,-36.067
1260.559,-36.12
1260.633,-36.047
1260.701,-35.967
1260.839,-36.12
1260.940,-36.02
1261.048,-35.987
1261.148,-36.04
1261.253,-36.007
1261.337,-36.007
1261.440,-36.047
1261.491,-35.927
1261.587,-35.987
1261.685,-36.04
1261.788,-35.853
1261.886,-35.98
1261.984,-36.027
1262.097,-36.087
1262.175,-36.02
1262.293,-35.987
1262.395,-36.02
1262.472,-36.073
1262.579,-36.02
1262.679,-36.08
1262.788,-36.067
1262.893,-36.153
1262.993,-36.0
1263.087,-36.107
1263.195,-36.047
1263.295,-36.087
1263.400,-36.153
1263.498,-35.887
1263.601,-36.073
1263.702,-36.0
1263.822,-35.987
1263.912,-36.047
1264.040,-35.953
1264.118,-36.08
1264.233,-36.06
1264.327,-36.06
1264.425,-36.033
1264.527,-35.993
1264.626,-36.107
1264.729,-35.94
1264.832,-36.08
1264.888,-36.093
1265.045,-35.953
1265.072,-35.98
1265.168,-36.02
1265.341,-36.107
1265.371,-36.14
1265.474,-36.18
1265.572,-36.02
1265.682,-36.087
1265.780,-36.033
1265.883,-36.033
1265.981,-36.027
1266.070,-35.887
1266.168,-36.12
1266.265,-35.94
1266.369,-36.067
1266.467,-36.02
1266.570,-36.0
1266.673,-36.08
1316.773,-36.033
1316.878,-36.033
1316.983,-36.027
1317.091,-35.927
1317.190,-35.973
1317.288,-36.073
1317.396,-36.073
1317.523,-36.02
1317.601,-36.113
1317.697,-36.073
1317.802,-36.047
1317.908,-36.107
1318.011,-36.053
1318.108,-35.807
1318.233,-36.027
1318.320,-36.047
1318.418,-36.067
1318.515,-36.067
1318.618,-36.073
1318.719,-36.027
1318.856,-36.14
1318.858,-36.033
1318.967,-35.993
1319.059,-36.0
1319.155,-36.067
1319.256,-36.067
1319.364,-36.1
1319.467,-35.993
1319.570,-36.093
1319.653,-36.08
1319.771,-35.94
1319.871,-35.92
1319.962,-35.967
1320.067,-36.06
1320.173,-36.053
1320.256,-36.007
1320.359,-36.033
1320.481,-36.033
1320.572,-36.08
1320.670,-36.033
1320.771,-35.933
1320.876,-35.973
1320.972,-36.08
1321.079,-36.073
1321.184,-36.033
1321.285,-36.013
1321.385,-35.947
1321.486,-36.06
1321.589,-36.093
1321.694,-36.04
1321.795,-35.967
1321.930,-36.007
1322.003,-36.007
1322.101,-36.06
1322.202,-36.06
1322.317,-36.173
1322.347,-36.033
1322.515,-36.033
1322.543,-36.06
1322.714,-36.04
1322.748,-35.96
1322.846,-35.94
1322.945,-36.02
1323.045,-36.033
1323.146,-36.087
1323.244,-36.1
1323.353,-36.013
1323.442,-36.067
1323.562,-36.02
1323.658,-35.987
1323.746,-35.967
1323.854,-36.047
1323.945,-36.113
1324.050,-35.98
1324.155,-36.053
1324.253,-36.073
1324.361,-36.02
1324.479,-36.08
1324.570,-36.02
1324.641,-36.14
1324.768,-36.073
1324.846,-36.053
1324.974,-36.18
1325.074,-36.013
1325.173,-35.913
1325.285,-36.04
1325.383,-36.053
1325.486,-35.96
1325.587,-35.907
1325.695,-35.907
1325.793,-35.96
1325.888,-36.08
1325.993,-36.06
1326.092,-35.947
1326.199,-36.073
1326.317,-36.1
1326.334,-36.04
1326.503,-36.12
1326.533,-36.147
1326.635,-35.973
1376.822,-36.047
1376.849,-36.047
1376.947,-36.027
1377.052,-36.013
1377.148,-36.087
1377.250,-36.013
1377.347,-36.02
1377.447,-36.033
1377.530,-36.053
1377.653,-36.08
