Time,Magnetic field Z
 22:41:55.221,17.080
 22:41:55.304,17.373
 22:41:55.389,17.207
 22:41:55.510,17.507
 22:41:55.626,17.007
 22:41:55.699,17.100
 22:41:55.820,17.280
 22:41:55.950,17.080
 22:41:56.018,17.167
 22:41:56.138,17.193
 22:41:56.236,17.340
 22:41:56.362,17.247
 22:41:56.443,17.227
 22:41:56.544,17.127
 22:41:56.647,17.060
 22:41:56.685,17.073
 22:41:56.780,17.260
 22:41:56.880,17.160
 22:41:56.977,17.200
 22:41:57.083,17.153
 22:41:57.187,17.293
 22:41:57.284,17.253
 22:41:57.389,17.180
 22:41:57.492,17.253
 22:41:57.591,17.207
 22:41:57.674,17.133
 22:41:57.787,17.040
 22:41:57.880,16.973
 22:41:57.979,17.340
 22:41:58.082,17.060
 22:41:58.199,17.040
 22:41:58.295,16.987
 22:41:58.394,17.127
 22:41:58.494,17.073
 22:41:58.578,17.180
 22:41:58.697,16.947
 22:41:58.796,16.887
 22:41:58.890,17.080
 22:41:58.975,17.380
 22:41:59.105,17.107
 22:41:59.201,17.240
 22:41:59.317,16.913
 22:41:59.417,17.240
 22:41:59.522,16.867
 22:41:59.627,17.093
 22:41:59.704,17.053
 22:41:59.829,17.133
 22:41:59.925,16.840
 22:42:00.010,17.087
 22:42:00.130,17.240
 22:42:00.229,17.400
 22:42:00.324,17.320
 22:42:00.429,17.187
 22:42:00.536,17.373
 22:42:00.570,17.193
 22:42:00.668,17.280
 22:42:00.765,17.033
 22:42:00.868,17.367
 22:42:00.971,17.020
 22:42:01.152,17.147
 22:42:01.181,17.207
 22:42:01.278,17.000
 22:42:01.384,17.413
 22:42:01.466,17.187
 22:42:01.585,17.007
 22:42:01.666,17.233
 22:42:01.768,17.320
 22:42:01.874,17.160
 22:42:01.977,16.993
 22:42:02.073,17.247
 22:42:02.170,16.867
 22:42:02.288,17.120
 22:42:02.384,17.200
 22:42:02.483,17.013
 22:42:02.564,17.307
 22:42:02.689,17.053
 22:42:02.791,16.987
 22:42:02.933,17.033
 22:42:02.998,16.733
 22:42:03.097,17.040
 22:42:03.158,17.087
 22:42:03.267,17.567
 22:42:03.374,17.127
 22:42:03.484,17.053
 22:42:03.588,17.153
 22:42:03.713,16.880
 22:42:03.801,17.080
 22:42:03.910,17.167
 22:42:03.958,16.940
 22:42:04.059,17.100
 22:42:04.155,17.093
 22:42:04.325,17.147
 22:42:04.447,17.400
 22:42:04.543,17.193
 22:42:04.570,17.400
 22:42:04.667,17.167
 22:42:04.771,17.273
 22:42:04.872,17.367
 22:42:04.974,17.247
 22:42:05.071,17.040
 22:42:05.171,17.087
 22:42:05.270,17.373
 22:42:05.357,17.180
 22:42:05.549,17.113
 22:42:05.555,16.973
 22:42:05.658,17.247
 22:42:05.769,17.247
 22:42:05.897,17.193
 22:42:05.966,17.353
 22:42:06.093,16.947
 22:42:06.156,17.347
 22:42:06.284,17.253
 22:42:06.366,17.187
 22:42:06.480,17.133
 22:42:06.608,16.973
 22:42:06.659,17.127
 22:42:06.786,17.087
 22:42:06.885,17.173
 22:42:06.974,16.973
 22:42:07.085,16.940
 22:42:07.187,17.200
 22:42:07.296,16.920
 22:42:07.393,17.080
 22:42:07.494,17.187
 22:42:07.598,16.787
 22:42:07.736,17.067
