Time,Temperature
 23:15:11.533,26.750
 23:15:11.639,26.700
 23:15:11.742,26.710
 23:15:11.939,26.710
 23:15:11.957,26.730
 23:15:12.045,26.760
 23:15:12.147,26.750
 23:15:12.224,26.750
 23:15:12.328,26.780
 23:15:12.430,26.730
 23:15:12.532,26.750
 23:15:12.633,26.760
 23:15:12.737,26.760
 23:15:12.839,26.750
 23:15:12.940,26.760
 23:15:13.044,26.750
 23:15:13.154,26.750
 23:15:13.252,26.760
 23:15:13.351,26.760
 23:15:13.453,26.760
 23:15:13.556,26.730
 23:15:13.660,26.760
 23:15:13.777,26.760
 23:15:13.867,26.760
 23:15:13.993,26.760
 23:15:14.068,26.790
 23:15:14.190,26.730
 23:15:14.274,26.750
 23:15:14.376,26.730
 23:15:14.479,26.760
 23:15:14.581,26.790
 23:15:14.689,26.750
 23:15:14.888,26.790
 23:15:14.898,26.750
 23:15:15.026,26.760
 23:15:15.028,26.750
 23:15:15.126,26.780
 23:15:15.298,26.780
 23:15:15.324,26.760
 23:15:15.424,26.760
 23:15:15.526,26.790
 23:15:15.614,26.760
 23:15:15.730,26.750
 23:15:15.832,26.760
 23:15:15.935,26.760
 23:15:16.025,26.710
 23:15:16.117,26.750
 23:15:16.219,26.730
 23:15:16.322,26.760
 23:15:16.424,26.750
 23:15:16.526,26.750
 23:15:16.628,26.730
 23:15:16.729,26.780
 23:15:16.833,26.760
 23:15:16.935,26.730
 23:15:17.037,26.750
 23:15:17.140,26.730
 23:15:17.242,26.750
 23:15:17.346,26.790
 23:15:17.418,26.790
 23:15:17.549,26.780
 23:15:17.677,26.730
 23:15:17.755,26.750
 23:15:17.864,26.760
 23:15:17.960,26.710
 23:15:18.062,26.760
 23:15:18.186,26.750
 23:15:18.275,26.750
 23:15:18.377,26.730
 23:15:18.409,26.760
 23:15:18.575,26.730
 23:15:18.670,26.760
 23:15:18.770,26.730
 23:15:18.923,26.760
 23:15:18.978,26.750
 23:15:19.008,26.750
 23:15:19.112,26.730
 23:15:19.212,26.750
 23:15:19.318,26.730
 23:15:19.417,26.750
 23:15:19.599,26.750
 23:15:19.607,26.730
 23:15:19.725,26.760
 23:15:19.803,26.750
 23:15:19.907,26.750
 23:15:20.025,26.750
 23:15:20.110,26.760
 23:15:20.212,26.730
 23:15:20.316,26.710
 23:15:20.437,26.760
 23:15:20.528,26.760
 23:15:20.632,26.710
 23:15:20.760,26.810
 23:15:20.829,26.810
 23:15:20.937,26.730
 23:15:21.033,26.760
 23:15:21.135,26.730
 23:15:21.238,26.730
 23:15:21.347,26.760
 23:15:21.451,26.790
 23:15:21.545,26.780
 23:15:21.653,26.760
 23:15:21.749,26.730
 23:15:21.863,26.760
 23:15:21.952,26.750
 23:15:22.078,26.730
 23:15:22.116,26.730
 23:15:22.276,26.750
 23:15:22.305,26.750
 23:15:22.424,26.750
 23:15:22.534,26.750
 23:15:22.596,26.750
 23:15:22.694,26.750
 23:15:22.797,26.730
 23:15:22.898,26.760
 23:15:23.000,26.730
 23:15:23.103,26.750
 23:15:23.211,26.730
 23:15:23.387,26.760
 23:15:23.415,26.790
 23:15:23.512,26.760
 23:15:23.610,26.760
 23:15:23.700,26.760
 23:15:23.806,26.730
 23:15:23.903,26.750
 23:15:24.001,26.760
 23:15:24.111,26.710
 23:15:24.208,26.730
 23:15:24.310,26.760
 23:15:24.516,26.730
 23:15:24.518,26.750
 23:15:24.615,26.700
 23:15:24.719,26.730
 23:15:24.821,26.760
 23:15:24.923,26.790
 23:15:25.026,26.810
 23:15:25.130,26.750
 23:15:25.238,26.760
 23:15:25.333,26.760
 23:15:25.435,26.780
 23:15:25.538,26.780
 23:15:25.640,26.760
 23:15:25.767,26.760
 23:15:25.844,26.780
 23:15:25.948,26.710
 23:15:26.048,26.760
 23:15:26.152,26.750
 23:15:26.273,26.730
 23:15:26.287,26.760
 23:15:26.385,26.730
 23:15:26.487,26.730
 23:15:26.585,26.760
 23:15:26.683,26.700
 23:15:26.789,26.730
 23:15:26.892,26.810
 23:15:27.009,26.730
 23:15:27.096,26.760
 23:15:27.200,26.810
 23:15:27.302,26.780
 23:15:27.381,26.730
 23:15:27.484,26.750
 23:15:27.586,26.790
 23:15:27.681,26.760
 23:15:27.790,26.780
 23:15:27.893,26.780
 23:15:27.994,26.750
 23:15:28.127,26.810
 23:15:28.199,26.790
 23:15:28.302,26.760
 23:15:28.408,26.760
 23:15:28.523,26.780
 23:15:28.620,26.750
 23:15:28.719,26.750
 23:15:28.815,26.760
 23:15:28.917,26.760
 23:15:29.018,26.780
 23:15:29.120,26.760
 23:15:29.222,26.760
 23:15:29.329,26.730
 23:15:29.427,26.750
 23:15:29.539,26.790
 23:15:29.625,26.780
 23:15:29.729,26.780
 23:15:29.837,26.810
 23:15:29.947,26.750
 23:15:30.042,26.760
 23:15:30.146,26.790
 23:15:30.172,26.760
 23:15:30.360,26.780
 23:15:30.394,26.710
 23:15:30.483,26.760
 23:15:30.581,26.790
 23:15:30.682,26.790
 23:15:30.793,26.760
 23:15:30.963,26.760
 23:15:30.991,26.750
 23:15:31.169,26.790
 23:15:31.171,26.780
 23:15:31.281,26.760
 23:15:31.380,26.760
 23:15:31.487,26.760
 23:15:31.585,26.760
 23:15:31.682,26.760
 23:15:31.809,26.790
 23:15:31.889,26.710
 23:15:31.989,26.750
 23:15:32.091,26.790
 23:15:32.197,26.760
 23:15:32.299,26.730
 23:15:32.398,26.760
 23:15:32.521,26.760
 23:15:32.604,26.790
 23:15:32.706,26.750
 23:15:32.808,26.760
 23:15:32.932,26.810
 23:15:33.013,26.790
 23:15:33.073,26.780
 23:15:33.227,26.710
 23:15:33.322,26.780
 23:15:33.382,26.730
 23:15:33.492,26.780
 23:15:33.626,26.780
 23:15:33.668,26.750
 23:15:33.763,26.760
 23:15:33.865,26.730
 23:15:33.963,26.790
 23:15:34.138,26.760
 23:15:34.166,26.730
 23:15:34.266,26.760
 23:15:34.382,26.760
 23:15:34.477,26.760
 23:15:34.573,26.780
 23:15:34.675,26.790
 23:15:34.769,26.750
 23:15:34.864,26.750
 23:15:34.962,26.760
 23:15:35.060,26.780
 23:15:35.164,26.760
 23:15:35.265,26.790
 23:15:35.367,26.760
 23:15:35.471,26.760
 23:15:35.572,26.760
 23:15:35.674,26.790
 23:15:35.786,26.750
 23:15:35.888,26.750
 23:15:35.988,26.780
 23:15:36.088,26.760
 23:15:36.196,26.750
 23:15:36.313,26.780
 23:15:36.391,26.750
 23:15:36.493,26.730
 23:15:36.607,26.790
 23:15:36.702,26.760
 23:15:36.768,26.810
 23:15:36.872,26.780
 23:15:37.010,26.760
 23:15:37.107,26.780
 23:15:37.211,26.780
 23:15:37.313,26.750
 23:15:37.409,26.760
 23:15:37.460,26.730
 23:15:37.626,26.730
 23:15:37.664,26.790
 23:15:37.757,26.780
 23:15:37.852,26.780
 23:15:37.952,26.750
 23:15:38.056,26.760
 23:15:38.156,26.730
 23:15:38.259,26.760
 23:15:38.361,26.730
 23:15:38.469,26.780
 23:15:38.568,26.760
 23:15:38.668,26.750
 23:15:38.768,26.790
 23:15:38.854,26.790
 23:15:38.951,26.760
 23:15:39.053,26.750
 23:15:39.179,26.760
 23:15:39.259,26.780
 23:15:39.370,26.790
 23:15:39.466,26.760
 23:15:39.575,26.790
 23:15:39.670,26.780
 23:15:39.772,26.780
 23:15:39.874,26.760
 23:15:39.980,26.780
 23:15:40.077,26.790
 23:15:40.181,26.760
 23:15:40.291,26.780
 23:15:40.395,26.810
 23:15:40.450,26.780
 23:15:40.556,26.760
 23:15:40.664,26.750
 23:15:40.795,26.760
 23:15:40.897,26.790
 23:15:41.017,26.760
 23:15:41.043,26.730
 23:15:41.203,26.760
 23:15:41.301,26.750
 23:15:41.341,26.780
 23:15:41.505,26.790
 23:15:41.614,26.750
 23:15:41.716,26.760
 23:15:41.752,26.730
 23:15:41.848,26.760
 23:15:41.947,26.730
 23:15:42.047,26.710
 23:15:42.143,26.790
 23:15:42.263,26.760
 23:15:42.336,26.750
 23:15:42.442,26.780
 23:15:42.540,26.760
 23:15:42.639,26.700
 23:15:42.740,26.780
 23:15:42.854,26.750
 23:15:42.952,26.760
 23:15:43.057,26.760
 23:15:43.179,26.760
 23:15:43.252,26.750
 23:15:43.354,26.760
 23:15:43.457,26.780
 23:15:43.559,26.760
 23:15:43.661,26.790
 23:15:43.765,26.790
 23:15:44.006,26.780
 23:15:44.008,26.780
 23:15:44.080,26.760
 23:15:44.198,26.760
 23:15:44.281,26.780
 23:15:44.391,26.790
 23:15:44.489,26.760
 23:15:44.584,26.760
 23:15:44.692,26.760
 23:15:44.790,26.750
 23:15:44.900,26.760
 23:15:44.953,26.760
 23:15:45.037,26.750
 23:15:45.163,26.760
 23:15:45.300,26.820
 23:15:45.403,26.780
 23:15:45.434,26.780
 23:15:45.529,26.790
 23:15:45.631,26.760
 23:15:45.748,26.820
 23:15:45.838,26.790
